i, iplusone, time, distance
159, 160, 2.2239490032196043, 55
160, 161, 2.261847233772278, 49
161, 162, 2.299274444580078, 51
162, 163, 2.333655047416687, 43
163, 164, 2.4032699823379517, 49
164, 165, 2.4332881212234496, 45
165, 166, 2.507290816307068, 47
166, 167, 2.538806343078613, 51
167, 168, 2.605225157737732, 55
168, 169, 2.6928938150405886, 51
169, 170, 2.7175281047821045, 53
170, 171, 2.7529333353042604, 51
171, 172, 2.7373749256134032, 47
172, 173, 2.7591202735900877, 47
173, 174, 2.80160276889801, 49
174, 175, 2.9504048824310303, 47
175, 176, 2.9127023935317995, 51
176, 177, 2.9182910919189453, 51
177, 178, 2.96386878490448, 57
178, 179, 2.9816245079040526, 55
179, 180, 2.9876022338867188, 55
180, 181, 3.0109462261199953, 57
181, 182, 3.054526448249817, 59
182, 183, 3.089631724357605, 55
183, 184, 3.1237443685531616, 57
184, 185, 3.226366662979126, 59
185, 186, 3.2254690408706663, 61
186, 187, 3.25378954410553, 57
187, 188, 3.279125189781189, 59
188, 189, 3.327100896835327, 55
189, 190, 3.3908260107040404, 59
190, 191, 3.4899574756622314, 63
191, 192, 3.5431186676025392, 63
192, 193, 3.626200222969055, 65
193, 194, 3.66000235080719, 65
194, 195, 3.722342848777771, 67
195, 196, 3.7178513288497923, 61
196, 197, 3.7608327627182008, 63
197, 198, 3.8187808752059937, 65
198, 199, 3.838325619697571, 65
199, 200, 3.8900902032852174, 65
200, 201, 4.30747344493866, 61
201, 202, 4.060634303092956, 63
202, 203, 4.058742332458496, 65
203, 204, 4.086564445495606, 65
204, 205, 4.187092256546021, 67
205, 206, 4.255612254142761, 65
206, 207, 4.232673621177673, 67
207, 208, 4.275961399078369, 69
208, 209, 4.34846351146698, 71
209, 210, 4.396036505699158, 61
210, 211, 4.437123203277588, 63
211, 212, 4.506441068649292, 65
212, 213, 4.536061787605286, 67
213, 214, 4.599595212936402, 65
214, 215, 4.631204009056091, 67
215, 216, 4.718872356414795, 69
216, 217, 4.770637631416321, 71
217, 218, 4.79307062625885, 69
218, 219, 4.907667231559754, 71
219, 220, 4.841744112968445, 61
220, 221, 4.783499598503113, 49
221, 222, 4.849821949005127, 49
222, 223, 4.884030771255493, 51
223, 224, 4.9240281820297245, 51
224, 225, 4.888418912887573, 53
225, 226, 4.917743802070618, 55
226, 227, 5.058962607383728, 55
227, 228, 5.126079559326172, 53
228, 229, 5.261420702934265, 57
229, 230, 5.224818730354309, 55
230, 231, 5.335027718544007, 57
231, 232, 5.342603015899658, 59
232, 233, 5.396560597419739, 59
233, 234, 5.463679528236389, 57
234, 235, 5.478539824485779, 57
235, 236, 5.563911080360413, 61
236, 237, 5.581868314743042, 75
237, 238, 6.215871644020081, 59
238, 239, 6.904723405838013, 63
239, 240, 6.833015322685242, 59
240, 241, 7.052128887176513, 55
241, 242, 7.283709073066712, 43
242, 243, 7.435104179382324, 45
243, 244, 7.087633967399597, 53
244, 245, 7.091926503181457, 41
245, 246, 6.092991638183594, 65
246, 247, 6.142462921142578, 47
247, 248, 6.193929195404053, 49
248, 249, 6.261241602897644, 49
249, 250, 6.294955110549926, 51
250, 251, 6.380027413368225, 53
251, 252, 6.471187925338745, 53
252, 253, 6.64891242980957, 61
253, 254, 6.7058521747589115, 51
254, 255, 6.806685733795166, 55
255, 256, 6.794817304611206, 57
256, 257, 6.863533854484558, 57
257, 258, 7.0020629405975345, 77
258, 259, 7.020114445686341, 55
259, 260, 7.165425777435303, 55
260, 261, 7.326594448089599, 57
261, 262, 7.0583126783370975, 57
262, 263, 7.159142351150512, 61
263, 264, 7.2795206785202025, 61
264, 265, 7.9029522180557255, 63
265, 266, 7.516286897659302, 51
266, 267, 7.590288686752319, 47
267, 268, 7.659802889823913, 51
268, 269, 7.688725399971008, 53
269, 270, 7.777388405799866, 57
270, 271, 7.881413793563842, 55
271, 272, 7.856372928619384, 55
272, 273, 7.95690758228302, 53
273, 274, 7.983440470695496, 53
274, 275, 8.114283323287964, 51
275, 276, 8.150386214256287, 51
276, 277, 8.221101069450379, 53
277, 278, 8.264692616462707, 55
278, 279, 8.357934641838074, 55
279, 280, 8.395235109329224, 57
280, 281, 8.465845918655395, 57
281, 282, 8.592207527160644, 55
282, 283, 8.568172454833984, 57
283, 284, 8.647858810424804, 57
284, 285, 8.956429767608643, 65
285, 286, 8.829376673698425, 61
286, 287, 8.858794283866882, 51
287, 288, 8.973184895515441, 65
288, 289, 9.104839515686034, 69
289, 290, 9.151211667060853, 59
290, 291, 9.227105736732483, 69
291, 292, 9.294432187080384, 55
292, 293, 9.337712574005128, 71
293, 294, 9.461976790428162, 73
294, 295, 9.502076363563537, 61
295, 296, 9.569788551330566, 59
296, 297, 9.65925636291504, 61
297, 298, 9.720684170722961, 63
298, 299, 9.814640307426453, 61
299, 300, 9.872777390480042, 63
300, 301, 9.927339482307435, 65
301, 302, 9.985874032974243, 71
302, 303, 10.081725311279296, 65
303, 304, 10.096977972984314, 73
304, 305, 10.249871802330016, 61
305, 306, 10.677232050895691, 65
306, 307, 10.32586874961853, 69
307, 308, 10.445345187187195, 81
308, 309, 10.507486271858216, 73
309, 310, 10.589263796806335, 61
310, 311, 10.646011924743652, 59
311, 312, 10.75980761051178, 59
312, 313, 10.868616127967835, 61
313, 314, 10.869510269165039, 67
314, 315, 11.023728466033935, 77
315, 316, 11.119449138641357, 67
316, 317, 11.156944489479065, 69
317, 318, 11.296172094345092, 77
318, 319, 11.301254868507385, 73
319, 320, 11.23174479007721, 63
320, 321, 11.33597011566162, 69
321, 322, 11.578819394111633, 65
322, 323, 11.47060546875, 69
323, 324, 11.693804693222045, 65
324, 325, 11.67884795665741, 67
325, 326, 11.494545841217041, 63
326, 327, 11.876422834396362, 63
327, 328, 12.083362293243407, 89
328, 329, 12.104612231254578, 77
329, 330, 12.205834555625916, 57
330, 331, 12.327213144302368, 59
331, 332, 12.357930970191955, 71
332, 333, 12.469632005691528, 61
333, 334, 12.595594811439515, 67
334, 335, 12.625223088264466, 85
335, 336, 12.762149310112, 79
336, 337, 12.847720575332641, 65
337, 338, 13.307589864730835, 69
338, 339, 12.970599007606506, 67
339, 340, 13.238475227355957, 69
340, 341, 13.152301096916199, 85
341, 342, 13.11470935344696, 73
342, 343, 13.175942063331604, 71
343, 344, 13.321153473854064, 71
344, 345, 13.492296695709229, 79
345, 346, 14.7022625207901, 81
346, 347, 14.287966346740722, 73
347, 348, 13.592231464385986, 77
348, 349, 13.754689717292786, 67
349, 350, 13.498982334136963, 77
350, 351, 13.426175975799561, 67
351, 352, 13.526005125045776, 65
352, 353, 13.891424036026, 87
353, 354, 14.143659806251526, 85
354, 355, 14.25565254688263, 69
355, 356, 14.158413195610047, 77
356, 357, 14.329751086235046, 81
357, 358, 14.08461389541626, 75
358, 359, 14.718115377426148, 83
359, 360, 14.227627444267274, 71
360, 361, 14.255151009559631, 73
361, 362, 14.376329851150512, 75
362, 363, 14.546574115753174, 85
363, 364, 15.091615962982178, 79
364, 365, 14.791718316078185, 81
365, 366, 14.866622376441956, 83
366, 367, 14.969944739341736, 59
367, 368, 15.081838655471802, 79
368, 369, 15.194640064239502, 55
369, 370, 15.235334587097167, 89
370, 371, 15.39141526222229, 67
371, 372, 15.511296319961549, 77
372, 373, 15.620500540733337, 61
373, 374, 15.63775086402893, 67
374, 375, 15.752949643135072, 57
375, 376, 15.910424709320068, 83
376, 377, 16.209820199012757, 85
377, 378, 16.285723567008972, 69
378, 379, 16.414176964759825, 69
379, 380, 16.24073746204376, 69
380, 381, 16.289813137054445, 75
381, 382, 16.33708276748657, 73
382, 383, 16.808621191978453, 75
383, 384, 16.82896339893341, 83
384, 385, 16.638675928115845, 75
385, 386, 16.66899824142456, 87
386, 387, 17.65624556541443, 73
387, 388, 17.017131876945495, 85
388, 389, 17.10424475669861, 73
389, 390, 17.285684132575987, 85
390, 391, 17.329327607154845, 91
391, 392, 17.437538433074952, 91
392, 393, 17.93041913509369, 71
393, 394, 18.072478008270263, 73
394, 395, 17.894415783882142, 81
